,RandomForestRegressor,XGBRegressor,RandomForestClassifier,XGBClassifier,LGBMClassifier,CatBoostRegressor
mean_rmsle,0.1979558661721795,0.17951422130188255,0.23863909253099166,0.22987749822408937,0.36235125509933475,0.17822074422797293
std_rmsle,0.0012860989987789509,0.0016298177424165763,0.0009894633786183406,0.0016811713379088907,0.05993726787067311,0.001609413085486121
